pipeline_name,pipeline_DOI,dataset name,exit code,existing output files,error message
ApplyWarp,zenodo.2650440,Learning_Naturalistic_Structure__Processed_fMRI_dataset,0,TRUE,
ApplyWarp,zenodo.2650440,preventad-open-bids,0,TRUE,
BIDS App - fmriprep,zenodo.1895219,openpain/subacute_longitudinal_study ,0,FALSE,
BIDS App - fmriprep,zenodo.1895219,openpain/placebo_predict_tetreault,0,FALSE,
BIDS App - fmriprep,zenodo.1895219,SIMON-dataset,0,FALSE,
BIDS App - fmriprep,zenodo.1895219,preventad-open-bids,0,FALSE,
BIDS App - fmriprep,zenodo.1895219,openpain/thermal,1,FALSE,
BIDS App - fmriprep,zenodo.1895219,openpain/BrainNetworkChange_Mano,1,FALSE,
BIDS App - fmriprep,zenodo.1895219,openpain/cbp_resting,1,FALSE,
BIDS App - fmriprep,zenodo.1895219,visual-working-memory,1,FALSE,
BIDS App - fmriprep,zenodo.1895219,openpain/placebo_1,1,FALSE,
BIDS App - FreeSurfer 6.0,zenodo.1484547,openpain/subacute_longitudinal_study ,0,FALSE,
BIDS App - FreeSurfer 6.0,zenodo.1484547,SIMON-dataset,0,FALSE,
BIDS App - FreeSurfer 6.0,zenodo.1484547,preventad-open-bids,1,FALSE,
BIDS App - FreeSurfer 6.0,zenodo.1484547,openpain/placebo_predict_tetreault,1,FALSE,
BIDS App - FreeSurfer 6.0,zenodo.1484547,Khanlab/HCPUR100-Template,0,FALSE,
BIDS App - FreeSurfer 6.0,zenodo.1484547,openpain/BrainNetworkChange_Mano,0,FALSE,
BIDS App - FreeSurfer 6.0,zenodo.1484547,openpain/placebo_1,0,FALSE,
BIDS App - FreeSurfer 6.0,zenodo.1484547,openpain/thermal,0,FALSE,
BIDS App - FreeSurfer 6.0,zenodo.1484547,openpain/cbp_resting ,0,FALSE,
BIDS App - ndmg,zenodo.4457865,SIMON-dataset,1,TRUE,
BIDS app example,zenodo.1451001,SIMON-dataset,1,TRUE,
BIDS app example,zenodo.1451001,SIMON-dataset,1,TRUE,
BIDS app example,zenodo.1451001,SIMON-dataset,1,TRUE,
BIDS app example,zenodo.1451001,SIMON-dataset,1,TRUE,
BIDS app example,zenodo.1451001,SIMON-dataset,1,TRUE,
BIDS app example,zenodo.1451001,SIMON-dataset,1,TRUE,
BIDS app example,zenodo.1451001,SIMON-dataset,1,TRUE,
BIDS app example,zenodo.1451001,SIMON-dataset,1,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,2,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,1,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,1,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,2,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,1,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,2,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,2,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,1,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,1,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,1,TRUE,
BIDS app example,zenodo.1451001,openpain/placebo_predict_tetreault,1,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,1,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,1,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,1,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,0,TRUE,
BIDS app example,zenodo.1451001,openpain/placebo_predict_tetreault,1,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,0,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,0,TRUE,
BIDS app example,zenodo.1451001,preventad-open-bids,0,TRUE,
BIDS app example,zenodo.1451001,openpain/placebo_predict_tetreault,1,TRUE,
BIDS app example,zenodo.1451001,SIMON-dataset,0,TRUE,
BIDS app example,zenodo.1451001,openpain/thermal,0,TRUE,
BIDS app example,zenodo.1451001,openpain/subacute_longitudinal_study,0,TRUE,
BIDS app example,zenodo.1451001,openpain/placebo_1,0,TRUE,
BIDS app example,zenodo.1451001,openpain/cbp_resting,0,TRUE,
BIDS app example,zenodo.1451001,openpain/BrainNetworkChange_Mano,0,TRUE,
BIDS app example,zenodo.1451001,openpain/BrainNetworkChange_Mano,2,FALSE,
BIDS app example,zenodo.1451001,openpain/BrainNetworkChange_Mano,2,FALSE,
BIDS app example,zenodo.1451001,preventad-open-bids,0,TRUE,
BIDS app example,zenodo.1451001,SIMON-dataset,0,TRUE,
DTIFit,zenodo.2601876,SIMON-dataset,0,FALSE,
FLIRT,zenodo.2597643,SIMON-dataset,134,FALSE,
FLIRT,zenodo.2597643,SIMON-dataset,134,FALSE,
FLIRT,zenodo.2597643,SIMON-dataset,0,TRUE,
FLIRT,zenodo.2597643,SIMON-dataset,0,TRUE,
FLIRT,zenodo.2597643,SIMON-dataset,0,TRUE,
FLIRT,zenodo.2597643,openpain/cbp_resting,0,TRUE,
FLIRT,zenodo.2597643,openpain/BrainNetworkChange_Mano,0,TRUE,
FLIRT,zenodo.2597643,openpain/placebo_predict_tetreault,0,TRUE,
FLIRT,zenodo.2597643,openpain/subacute_longitudinal_study,0,TRUE,
FLIRT,zenodo.2597643,preventad-open-bids,0,TRUE,
FLIRT,zenodo.2597643,SIMON-dataset,0,TRUE,
FLIRT,zenodo.2597643,preventad-open,134,FALSE,
FLIRT,zenodo.2597643,Learning_Naturalistic_Structure__Processed_fMRI_dataset,0,TRUE,
FLIRT,zenodo.2597643,multicenter-phantom,134,FALSE,
FLIRT,zenodo.2597643,openpain/thermal,134,FALSE,
FLIRT,zenodo.2597643,openpain/placebo_1,134,FALSE,
FLIRT,zenodo.2597643,Khanlab/BigBrainHippoUnfold,0,TRUE,
FLIRT,zenodo.2597643,openpain/placebo_1,134,FALSE,
FLIRT,zenodo.2597643,openpain/thermal,0,TRUE,
FLIRT,zenodo.2597643,multicenter-phantom,134,FALSE,
FNIRT,zenodo.2639849,openpain/cbp_resting,0,FALSE,
FNIRT,zenodo.2639849,openpain/BrainNetworkChange_Mano,0,FALSE,
FNIRT,zenodo.2639849,openpain/placebo_predict_tetreault,0,FALSE,
FNIRT,zenodo.2639849,openpain/subacute_longitudinal_study,0,FALSE,
FNIRT,zenodo.2639849,preventad-open-bids,0,FALSE,
FNIRT,zenodo.2639849,SIMON-dataset,0,FALSE,
FNIRT,zenodo.2639849,preventad-open,1,FALSE,
FNIRT,zenodo.2639849,Learning_Naturalistic_Structure__Processed_fMRI_dataset,0,FALSE,
FNIRT,zenodo.2639849,multicenter-phantom,1,FALSE,
FNIRT,zenodo.2639849,openpain/thermal,1,FALSE,
FNIRT,zenodo.2639849,openpain/placebo_1,1,FALSE,
FNIRT,zenodo.2639849,Khanlab/BigBrainHippoUnfold,0,FALSE,
FNIRT,zenodo.2639849,openpain/cbp_resting,0,FALSE,
FNIRT,zenodo.2639849,openpain/BrainNetworkChange_Mano,0,FALSE,
FNIRT,zenodo.2639849,openpain/placebo_predict_tetreault,0,FALSE,
FNIRT,zenodo.2639849,openpain/subacute_longitudinal_study,0,FALSE,
FNIRT,zenodo.2639849,preventad-open-bids,0,FALSE,
FNIRT,zenodo.2639849,SIMON-dataset,0,FALSE,
FNIRT,zenodo.2639849,preventad-open,1,FALSE,
FNIRT,zenodo.2639849,Learning_Naturalistic_Structure__Processed_fMRI_dataset,0,FALSE,
FNIRT,zenodo.2639849,multicenter-phantom,1,FALSE,
FNIRT,zenodo.2639849,openpain/thermal,1,FALSE,
FNIRT,zenodo.2639849,openpain/placebo_1,1,FALSE,
FNIRT,zenodo.2639849,Khanlab/BigBrainHippoUnfold,0,FALSE,
FNIRT,zenodo.2639849,openpain/thermal,0,FALSE,
FNIRT,zenodo.2639849,multicenter-phantom,1,FALSE,
FNIRT,zenodo.2639849,multicenter-phantom,1,FALSE,
FreeSurfer-Recon-all,zenodo.4043546,SIMON-dataset,0,TRUE,
FreeSurfer-Recon-all,zenodo.4043546,openpain/placebo_predict_tetreault,0,TRUE,
FreeSurfer-Recon-all,zenodo.4043546,preventad-open-bids,0,TRUE,
FreeSurfer-Recon-all,zenodo.4043546,Learning_Naturalistic_Structure__Processed_fMRI_dataset,1,TRUE,Crashed
FreeSurfer-Recon-all,zenodo.4043546,openpain/subacute_longitudinal_study,1,TRUE,Crashed
FreeSurfer-Recon-all,zenodo.4043546,openpain/thermal,1,TRUE,Crashed
FreeSurfer-Recon-all,zenodo.4043546,openpain/BrainNetworkChange_Mano,0,TRUE,
FreeSurfer-Recon-all,zenodo.4043546,openpain/placebo_1,0,TRUE,
FreeSurfer-Recon-all,zenodo.4043546,openpain/cbp_resting,0,TRUE,
FslBet601,zenodo.3267250,Khanlab/HCPUR100-Template,0,TRUE,
FslBet601,zenodo.3267250,openpain/cbp_resting,0,TRUE,
FslBet601,zenodo.3267250,openpain/thermal,0,TRUE,
FslBet601,zenodo.3267250,openpain/BrainNetworkChange_Mano,0,TRUE,
FslBet601,zenodo.3267250,openpain/placebo_1,1,FALSE,
FslBet601,zenodo.3267250,openpain/placebo_predict_tetreault,0,TRUE,
FslBet601,zenodo.3267250,openpain/subacute_longitudinal_study,0,TRUE,
FslBet601,zenodo.3267250,preventad-open-bids,0,TRUE,
FslBet601,zenodo.3267250,SIMON-dataset,0,TRUE,
FslBet601,zenodo.3267250,multicenter-phantom,0,FALSE,
FslBet601,zenodo.3267250,preventad-open,0,FALSE,
FslBet601,zenodo.3267250,Learning_Naturalistic_Structure__Processed_fMRI_dataset,0,FALSE,
FslBet601,zenodo.3267250,preventad-open,0,FALSE,
FslBet601,zenodo.3267250,preventad-open,0,FALSE,
fslstats,zenodo.3240521,Khanlab/HCPUR100-Template,0,TRUE,
fslstats,zenodo.3240521,visual-working-memory,255,TRUE,
